Product,Jan23,Dec22,Nov22,Oct22,Sep22,Aug22
Abacavir 600mg / Lamivudine 300mg tablets 30,£190.00,£190.00,£190.00,£190.00,£190.00,£190.00
Abatacept 125mg/1ml solution for injection pre-filled disposable devices 4,"£1,209.60","£1,209.60","£1,209.60","£1,209.60","£1,209.60","£1,209.60"
Abatacept 125mg/1ml solution for injection pre-filled syringes 4,"£1,209.60","£1,209.60","£1,209.60","£1,209.60","£1,209.60","£1,209.60"
Acacia spray dried powder 250,£16.32,£16.32,£16.32,£16.32,£16.32,£16.32
Acamprosate 333mg gastro-resistant tablets 168,£24.87,£28.29,£27.07,£27.07,£26.07,£26.07
Acarbose 100mg tablets 90,£39.23,£38.62,£38.57,£38.67,£38.46,£38.88
Acarbose 50mg tablets 90,£23.01,£22.76,£23.25,£22.27,£21.14,£18.88
Acebutolol 400mg tablets 28,£25.07,£25.19,£24.95,£25.43,£24.46,£22.51
Aceclofenac 100mg tablets 60,£6.87,£6.92,£6.99,£7.06,£7.16,£7.22
Acenocoumarol 1mg tablets 100,£4.62,£4.62,£4.62,£4.62,£4.62,£4.62
Acetazolamide 250mg modified-release capsules 30,£16.66,£16.66,£16.66,£16.66,£16.66,£16.66
Acetazolamide 250mg tablets 112,£5.37,£5.81,£5.57,£5.57,£5.89,£5.89
Acetic acid 2% ear spray 5,£4.10,£4.10,£4.10,£4.10,£4.10,£4.10
Acetone liquid 50,£1.29,£1.29,£1.29,£1.29,£1.29,£1.29
Acetylcysteine 200mg oral powder sachets sugar free 30,£112.50,£112.50,£112.50,£112.50,£112.50,£112.50
Acetylcysteine 2g/10ml solution for infusion ampoules 10,£21.26,£21.26,£21.26,£21.26,£21.26,£21.26
Acetylcysteine 5% eye drops 10,£44.44,£44.44,£44.44,£44.44,£44.44,£44.44
Acetylcysteine 600mg capsules 30,£88.74,£88.72,£88.53,£88.90,£88.15,£89.64
Acetylcysteine 600mg effervescent tablets sugar free 30,£5.50,£5.50,£5.50,£5.50,£5.50,£5.50
Aciclovir 200mg dispersible tablets 25,£1.82,£1.82,£1.82,£1.82,£1.82,£1.82
Aciclovir 200mg tablets 25,£1.40,£1.43,£1.38,£1.38,£1.32,£1.32
Aciclovir 200mg/5ml oral suspension sugar free 125,£35.78,£35.78,£35.78,£35.78,£35.78,£35.78
Aciclovir 3% eye ointment 4.5,£45.00,£45.00,£45.00,£45.00,£45.00,£45.00
